Pattern,Scores
01C,1.584962500721156
02C,1.9219280948873623
03C,1.8464393446710154
04C,2.721928094887362
05C,1.8954618442383218
06C,1.8464393446710154
07C,2.584962500721156
08C,2.4464393446710155
09C,2.721928094887362
10C,2.2516291673878226
11C,2.721928094887362
12C,2.5219280948873624
13C,2.446439344671016
14C,1.9182958340544893
15C,2.721928094887362
16C,2.721928094887362
17C,1.9709505944546686
18C,1.9182958340544893
19C,2.721928094887362
20C,1.4591479170272448
21C,2.446439344671016
22C,1.9219280948873623
23C,2.721928094887362
24C,2.721928094887362
25C,2.2516291673878226
26C,2.4464393446710155
27C,2.170950594454669
28C,2.721928094887362
29C,1.8954618442383218
30C,1.9219280948873623
01G,1.584962500721156
02G,1.9219280948873623
03G,1.8464393446710154
04G,2.721928094887362
05G,1.8954618442383218
06G,1.8464393446710154
07G,2.584962500721156
08G,2.4464393446710155
09G,2.721928094887362
10G,2.2516291673878226
11G,2.721928094887362
12G,2.5219280948873624
13G,2.446439344671016
14G,1.9182958340544893
15G,2.721928094887362
16G,2.721928094887362
17G,1.9709505944546686
18G,1.9182958340544893
19G,2.721928094887362
20G,1.4591479170272448
21G,2.446439344671016
22G,1.9219280948873623
23G,2.721928094887362
24G,2.721928094887362
25G,2.2516291673878226
26G,2.4464393446710155
27G,2.170950594454669
28G,2.721928094887362
29G,1.8954618442383218
30G,1.9219280948873623
01H,1.584962500721156
02H,1.9219280948873623
03H,1.8464393446710154
04H,2.721928094887362
05H,1.8954618442383218
06H,1.8464393446710154
07H,2.584962500721156
08H,2.4464393446710155
09H,2.5219280948873624
10H,2.2516291673878226
11H,2.721928094887362
12H,2.5219280948873624
13H,2.446439344671016
14H,1.9182958340544893
15H,2.721928094887362
16H,2.721928094887362
17H,1.9709505944546686
18H,1.9182958340544893
19H,2.721928094887362
20H,1.4591479170272448
21H,2.446439344671016
22H,1.9219280948873623
23H,2.721928094887362
24H,2.721928094887362
25H,2.2516291673878226
26H,2.4464393446710155
27H,2.170950594454669
28H,2.5219280948873624
29H,1.8954618442383218
30H,1.9219280948873623
01R,1.584962500721156
02R,1.9219280948873623
03R,1.8464393446710154
04R,2.721928094887362
05R,1.8954618442383218
06R,1.8464393446710154
07R,2.584962500721156
08R,2.4464393446710155
09R,2.721928094887362
10R,2.2516291673878226
11R,2.721928094887362
12R,2.5219280948873624
13R,2.446439344671016
14R,1.9182958340544893
15R,2.721928094887362
16R,2.721928094887362
17R,1.9709505944546686
18R,1.9182958340544893
19R,2.721928094887362
20R,1.4591479170272448
21R,2.446439344671016
22R,1.9219280948873623
23R,2.721928094887362
24R,2.721928094887362
25R,2.2516291673878226
26R,2.4464393446710155
27R,2.170950594454669
28R,2.721928094887362
29R,1.8954618442383218
30R,1.9219280948873623
