Pattern,Scores
01C,3.0
02C,2.5
03C,2.5
04C,5.0
05C,3.3333333333333335
06C,2.5
07C,6.0
08C,3.3333333333333335
09C,5.0
10C,3.0
11C,5.0
12C,5.0
13C,3.3333333333333335
14C,3.0
15C,5.0
16C,5.0
17C,3.3333333333333335
18C,3.0
19C,5.0
20C,2.0
21C,3.3333333333333335
22C,2.5
23C,5.0
24C,5.0
25C,3.0
26C,3.3333333333333335
27C,3.3333333333333335
28C,5.0
29C,3.3333333333333335
30C,2.5
01G,3.0
02G,2.5
03G,2.5
04G,5.0
05G,3.3333333333333335
06G,2.5
07G,6.0
08G,3.3333333333333335
09G,5.0
10G,3.0
11G,5.0
12G,5.0
13G,3.3333333333333335
14G,3.0
15G,5.0
16G,5.0
17G,3.3333333333333335
18G,3.0
19G,5.0
20G,2.0
21G,3.3333333333333335
22G,2.5
23G,5.0
24G,5.0
25G,3.0
26G,3.3333333333333335
27G,3.3333333333333335
28G,5.0
29G,3.3333333333333335
30G,2.5
01H,3.0
02H,2.5
03H,2.5
04H,5.0
05H,3.3333333333333335
06H,2.5
07H,6.0
08H,3.3333333333333335
09H,5.0
10H,3.0
11H,5.0
12H,5.0
13H,3.3333333333333335
14H,3.0
15H,5.0
16H,5.0
17H,3.3333333333333335
18H,3.0
19H,5.0
20H,2.0
21H,3.3333333333333335
22H,2.5
23H,5.0
24H,5.0
25H,3.0
26H,3.3333333333333335
27H,3.3333333333333335
28H,5.0
29H,3.3333333333333335
30H,2.5
01R,3.0
02R,2.5
03R,2.5
04R,5.0
05R,3.3333333333333335
06R,2.5
07R,6.0
08R,3.3333333333333335
09R,5.0
10R,3.0
11R,5.0
12R,5.0
13R,3.3333333333333335
14R,3.0
15R,5.0
16R,5.0
17R,3.3333333333333335
18R,3.0
19R,5.0
20R,2.0
21R,3.3333333333333335
22R,2.5
23R,5.0
24R,5.0
25R,3.0
26R,3.3333333333333335
27R,3.3333333333333335
28R,5.0
29R,3.3333333333333335
30R,2.5
