Pattern,Scores
01C,2.0
02C,0.0
03C,1.0
04C,5.0
05C,3.0
06C,4.0
07C,6.0
08C,8.0
09C,7.0
10C,8.0
11C,9.0
12C,8.0
13C,11.0
14C,12.0
15C,13.0
16C,5.0
17C,1.0
18C,4.0
19C,5.0
20C,3.0
21C,6.0
22C,5.0
23C,7.0
24C,8.0
25C,8.0
26C,10.0
27C,9.0
28C,13.0
29C,13.0
30C,14.0
01G,2.0
02G,0.0
03G,1.0
04G,5.0
05G,3.0
06G,4.0
07G,6.0
08G,8.0
09G,7.0
10G,8.0
11G,9.0
12G,8.0
13G,11.0
14G,12.0
15G,13.0
16G,5.0
17G,1.0
18G,4.0
19G,5.0
20G,3.0
21G,6.0
22G,5.0
23G,7.0
24G,8.0
25G,8.0
26G,10.0
27G,9.0
28G,13.0
29G,13.0
30G,14.0
01H,2.0
02H,0.0
03H,1.0
04H,5.0
05H,3.0
06H,4.0
07H,6.0
08H,8.0
09H,8.0
10H,8.0
11H,9.0
12H,8.0
13H,11.0
14H,12.0
15H,13.0
16H,5.0
17H,1.0
18H,4.0
19H,5.0
20H,3.0
21H,6.0
22H,5.0
23H,7.0
24H,10.0
25H,8.0
26H,10.0
27H,9.0
28H,10.0
29H,13.0
30H,14.0
01R,2.0
02R,0.0
03R,1.0
04R,5.0
05R,3.0
06R,4.0
07R,6.0
08R,8.0
09R,7.0
10R,8.0
11R,9.0
12R,8.0
13R,11.0
14R,12.0
15R,13.0
16R,5.0
17R,1.0
18R,4.0
19R,5.0
20R,3.0
21R,6.0
22R,5.0
23R,7.0
24R,8.0
25R,8.0
26R,10.0
27R,9.0
28R,13.0
29R,13.0
30R,14.0
