Pattern,Scores
01C,0
02C,0
03C,0
04C,1
05C,0
06C,0
07C,1
08C,2
09C,3
10C,3
11C,2
12C,3
13C,3
14C,3
15C,4
16C,1
17C,0
18C,0
19C,1
20C,0
21C,2
22C,0
23C,2
24C,3
25C,1
26C,2
27C,3
28C,4
29C,5
30C,5
01G,0
02G,0
03G,0
04G,1
05G,0
06G,0
07G,1
08G,2
09G,3
10G,3
11G,2
12G,3
13G,3
14G,3
15G,4
16G,1
17G,0
18G,0
19G,1
20G,0
21G,2
22G,0
23G,2
24G,3
25G,1
26G,2
27G,3
28G,4
29G,5
30G,5
01H,0
02H,0
03H,0
04H,1
05H,0
06H,0
07H,1
08H,2
09H,3
10H,3
11H,2
12H,3
13H,3
14H,3
15H,4
16H,1
17H,0
18H,0
19H,1
20H,0
21H,2
22H,0
23H,2
24H,4
25H,1
26H,2
27H,3
28H,3
29H,5
30H,5
01R,0
02R,0
03R,0
04R,1
05R,0
06R,0
07R,1
08R,2
09R,3
10R,3
11R,2
12R,3
13R,3
14R,3
15R,4
16R,1
17R,0
18R,0
19R,1
20R,0
21R,2
22R,0
23R,2
24R,3
25R,1
26R,2
27R,3
28R,4
29R,5
30R,5
