Pattern,Scores
01C,1.0
02C,2.25
03C,1.0
04C,5.0
05C,0.75
06C,0.75
07C,8.75
08C,10.0
09C,13.75
10C,13.75
11C,10.0
12C,14.0
13C,13.75
14C,13.75
15C,15.0
16C,0.0
17C,0.75
18C,0.25
19C,4.0
20C,0.5
21C,8.75
22C,0.25
23C,10.0
24C,13.75
25C,8.75
26C,10.0
27C,12.5
28C,15.0
29C,13.75
30C,15.0
01G,1.0
02G,2.25
03G,1.0
04G,5.0
05G,0.75
06G,0.75
07G,8.75
08G,10.0
09G,13.75
10G,13.75
11G,10.0
12G,14.0
13G,13.75
14G,13.75
15G,15.0
16G,0.0
17G,0.75
18G,0.25
19G,4.0
20G,0.5
21G,8.75
22G,0.25
23G,10.0
24G,13.75
25G,8.75
26G,10.0
27G,12.5
28G,15.0
29G,13.75
30G,15.0
01H,1.0
02H,2.25
03H,1.0
04H,5.0
05H,0.75
06H,0.75
07H,8.75
08H,10.0
09H,13.75
10H,13.75
11H,10.0
12H,14.0
13H,13.75
14H,13.75
15H,15.0
16H,0.0
17H,0.75
18H,0.25
19H,4.0
20H,0.5
21H,8.75
22H,0.25
23H,10.0
24H,13.75
25H,8.75
26H,10.0
27H,12.5
28H,13.75
29H,13.75
30H,15.0
01R,1.0
02R,2.25
03R,1.0
04R,5.0
05R,0.75
06R,0.75
07R,8.75
08R,10.0
09R,13.75
10R,13.75
11R,10.0
12R,14.0
13R,13.75
14R,13.75
15R,15.0
16R,0.0
17R,0.75
18R,0.25
19R,4.0
20R,0.5
21R,8.75
22R,0.25
23R,10.0
24R,13.75
25R,8.75
26R,10.0
27R,12.5
28R,15.0
29R,13.75
30R,15.0
