Pattern,Scores
01C,1.584962500721156
02C,1.9219280948873625
03C,1.8464393446710157
04C,2.721928094887362
05C,1.8954618442383215
06C,1.8464393446710157
07C,2.584962500721156
08C,2.4464393446710155
09C,2.721928094887362
10C,2.2516291673878226
11C,2.721928094887362
12C,2.5219280948873624
13C,2.446439344671016
14C,1.9182958340544891
15C,2.721928094887362
16C,2.721928094887362
17C,1.9709505944546688
18C,1.9182958340544891
19C,2.721928094887362
20C,1.4591479170272448
21C,2.446439344671016
22C,1.9219280948873625
23C,2.721928094887362
24C,2.721928094887362
25C,2.2516291673878226
26C,2.4464393446710155
27C,2.170950594454669
28C,2.721928094887362
29C,1.8954618442383215
30C,1.9219280948873625
