Pattern,Scores
01G,1.584962500721156
02G,1.9219280948873625
03G,1.8464393446710157
04G,2.721928094887362
05G,1.8954618442383215
06G,1.8464393446710157
07G,2.584962500721156
08G,2.4464393446710155
09G,2.721928094887362
10G,2.2516291673878226
11G,2.721928094887362
12G,2.5219280948873624
13G,2.446439344671016
14G,1.9182958340544891
15G,2.721928094887362
16G,2.721928094887362
17G,1.9709505944546688
18G,1.9182958340544891
19G,2.721928094887362
20G,1.4591479170272448
21G,2.446439344671016
22G,1.9219280948873625
23G,2.721928094887362
24G,2.721928094887362
25G,2.2516291673878226
26G,2.4464393446710155
27G,2.170950594454669
28G,2.721928094887362
29G,1.8954618442383215
30G,1.9219280948873625
