Pattern,Scores
01H,1.584962500721156
02H,1.9219280948873625
03H,1.8464393446710157
04H,2.721928094887362
05H,1.8954618442383215
06H,1.8464393446710157
07H,2.584962500721156
08H,2.4464393446710155
09H,2.5219280948873624
10H,2.2516291673878226
11H,2.721928094887362
12H,2.5219280948873624
13H,2.446439344671016
14H,1.9182958340544891
15H,2.721928094887362
16H,2.721928094887362
17H,1.9709505944546688
18H,1.9182958340544891
19H,2.721928094887362
20H,1.4591479170272448
21H,2.446439344671016
22H,1.9219280948873625
23H,2.721928094887362
24H,2.721928094887362
25H,2.2516291673878226
26H,2.4464393446710155
27H,2.170950594454669
28H,2.5219280948873624
29H,1.8954618442383215
30H,1.9219280948873625
