Pattern,Scores
01R,1.584962500721156
02R,1.9219280948873625
03R,1.8464393446710157
04R,2.721928094887362
05R,1.8954618442383215
06R,1.8464393446710157
07R,2.584962500721156
08R,2.4464393446710155
09R,2.721928094887362
10R,2.2516291673878226
11R,2.721928094887362
12R,2.5219280948873624
13R,2.446439344671016
14R,1.9182958340544891
15R,2.721928094887362
16R,2.721928094887362
17R,1.9709505944546688
18R,1.9182958340544891
19R,2.721928094887362
20R,1.4591479170272448
21R,2.446439344671016
22R,1.9219280948873625
23R,2.721928094887362
24R,2.721928094887362
25R,2.2516291673878226
26R,2.4464393446710155
27R,2.170950594454669
28R,2.721928094887362
29R,1.8954618442383215
30R,1.9219280948873625
