Pattern,Scores
01C,2.0
02C,0.0
03C,2.0
04C,3.0
05C,4.0
06C,4.0
07C,5.0
08C,5.0
09C,7.0
10C,7.0
11C,9.0
12C,9.0
13C,10.0
14C,10.0
15C,11.0
16C,2.0
17C,2.0
18C,4.0
19C,3.0
20C,4.0
21C,5.0
22C,5.0
23C,6.0
24C,9.0
25C,8.0
26C,9.0
27C,10.0
28C,11.0
29C,12.0
30C,12.0
01G,2.0
02G,0.0
03G,2.0
04G,3.0
05G,4.0
06G,4.0
07G,5.0
08G,5.0
09G,7.0
10G,7.0
11G,9.0
12G,9.0
13G,10.0
14G,10.0
15G,11.0
16G,2.0
17G,2.0
18G,4.0
19G,3.0
20G,4.0
21G,5.0
22G,5.0
23G,6.0
24G,9.0
25G,8.0
26G,9.0
27G,10.0
28G,11.0
29G,12.0
30G,12.0
01H,2.0
02H,0.0
03H,2.0
04H,3.0
05H,4.0
06H,4.0
07H,5.0
08H,5.0
09H,7.0
10H,7.0
11H,9.0
12H,9.0
13H,10.0
14H,10.0
15H,11.0
16H,2.0
17H,2.0
18H,4.0
19H,3.0
20H,4.0
21H,5.0
22H,5.0
23H,6.0
24H,9.0
25H,8.0
26H,9.0
27H,10.0
28H,9.0
29H,12.0
30H,12.0
01R,2.0
02R,0.0
03R,2.0
04R,3.0
05R,4.0
06R,4.0
07R,5.0
08R,5.0
09R,7.0
10R,7.0
11R,9.0
12R,9.0
13R,10.0
14R,10.0
15R,11.0
16R,2.0
17R,2.0
18R,4.0
19R,3.0
20R,4.0
21R,5.0
22R,5.0
23R,6.0
24R,9.0
25R,8.0
26R,9.0
27R,10.0
28R,11.0
29R,12.0
30R,12.0
