Pattern,Scores
01C,0.25
02C,0.1
03C,0.2
04C,0.4
05C,0.4
06C,0.5
07C,0.875
08C,0.9
09C,1.1
10C,1.25
11C,1.3
12C,1.2
13C,1.5
14C,1.75
15C,1.7
16C,0.3
17C,0.2
18C,0.25
19C,0.7
20C,0.375
21C,0.7
22C,0.7
23C,1.1
24C,1.1
25C,1.25
26C,1.3
27C,1.4
28C,1.7
29C,1.4
30C,1.8
01G,0.25
02G,0.1
03G,0.2
04G,0.4
05G,0.4
06G,0.5
07G,0.875
08G,0.9
09G,1.1
10G,1.25
11G,1.3
12G,1.2
13G,1.5
14G,1.75
15G,1.7
16G,0.3
17G,0.2
18G,0.25
19G,0.7
20G,0.375
21G,0.7
22G,0.7
23G,1.1
24G,1.1
25G,1.25
26G,1.3
27G,1.4
28G,1.7
29G,1.4
30G,1.8
01H,0.25
02H,0.1
03H,0.2
04H,0.4
05H,0.4
06H,0.5
07H,0.875
08H,0.9
09H,1.1
10H,1.25
11H,1.3
12H,1.2
13H,1.5
14H,1.75
15H,1.7
16H,0.3
17H,0.2
18H,0.25
19H,0.7
20H,0.375
21H,0.7
22H,0.7
23H,1.1
24H,1.0
25H,1.25
26H,1.3
27H,1.4
28H,1.1
29H,1.4
30H,1.8
01R,0.25
02R,0.1
03R,0.2
04R,0.4
05R,0.4
06R,0.5
07R,0.875
08R,0.9
09R,1.1
10R,1.25
11R,1.3
12R,1.2
13R,1.5
14R,1.75
15R,1.7
16R,0.3
17R,0.2
18R,0.25
19R,0.7
20R,0.375
21R,0.7
22R,0.7
23R,1.1
24R,1.1
25R,1.25
26R,1.3
27R,1.4
28R,1.7
29R,1.4
30R,1.8
